,home,score
2923,Knights,154.9090909090909
2924,Titans,155.475
2925,Dolphins,157.17857142857142
2927,Titans,155.475
2928,Titans,155.475
2930,Burgher Recreation Club,132.4
2931,Chilaw Marians Cricket Club,155.75
2932,Colts Cricket Club,157.55555555555554
2933,Nondescripts Cricket Club,159.55555555555554
2934,Bloomfield Cricket and Athletic Club,124.16666666666667
2935,Colombo Cricket Club,161.75
2936,Moors Sports Club,144.85714285714286
2938,Burgher Recreation Club,132.4
2939,Colombo Cricket Club,161.75
2940,Panadura Sports Club,133.66666666666666
2942,Badureliya Sports Club,155.0
2944,Lankan Cricket Club,93.0
2945,Moors Sports Club,144.85714285714286
2946,Badureliya Sports Club,155.0
2948,Colts Cricket Club,157.55555555555554
2949,Sinhalese Sports Club,158.25
2951,Burgher Recreation Club,132.4
2954,Bloomfield Cricket and Athletic Club,124.16666666666667
2957,Nondescripts Cricket Club,159.55555555555554
2959,Colombo Cricket Club,161.75
2961,Ragama Cricket Club,150.625
2962,Badureliya Sports Club,155.0
2963,Burgher Recreation Club,132.4
2964,Kurunegala Youth Cricket Club,148.0
2965,Panadura Sports Club,133.66666666666666
2966,Chilaw Marians Cricket Club,155.75
2968,Nondescripts Cricket Club,159.55555555555554
2970,Colts Cricket Club,157.55555555555554
2971,Burgher Recreation Club,132.4
2972,Nondescripts Cricket Club,159.55555555555554
2973,Burgher Recreation Club,132.4
2977,Rajasthan Royals,156.4102564102564
2978,Royal Challengers Bangalore,163.95744680851064
2980,Rajasthan Royals,156.4102564102564
2981,Pune Warriors,151.0
2984,Delhi Daredevils,155.0
2985,Mumbai Indians,166.9090909090909
2986,Chennai Super Kings,167.34426229508196
2987,Kings XI Punjab,169.25
2988,Kolkata Knight Riders,146.57142857142858
2989,Pune Warriors,151.0
2993,Rajasthan Royals,156.4102564102564
2994,Royal Challengers Bangalore,163.95744680851064
2996,Delhi Daredevils,155.0
2997,Chennai Super Kings,167.34426229508196
2999,Chennai Super Kings,167.34426229508196
3009,Delhi Daredevils,155.0
3011,Kolkata Knight Riders,146.57142857142858
3012,Delhi Daredevils,155.0
3013,Mumbai Indians,166.9090909090909
3015,Deccan Chargers,153.92307692307693
3019,Chennai Super Kings,167.34426229508196
3020,Kolkata Knight Riders,146.57142857142858
3022,Mumbai Indians,166.9090909090909
3023,Royal Challengers Bangalore,163.95744680851064
3032,Chennai Super Kings,167.34426229508196
3033,Rajasthan Royals,156.4102564102564
3034,Kings XI Punjab,169.25
3037,Delhi Daredevils,155.0
3039,Kings XI Punjab,169.25
3041,Deccan Chargers,153.92307692307693
3044,Deccan Chargers,153.92307692307693
3047,Chennai Super Kings,167.34426229508196
3049,Kolkata Knight Riders,146.57142857142858
3050,Sri Lanka,161.52941176470588
3052,West Indies A,122.6
3054,England,157.76470588235293
3055,Zimbabwe XI,160.0
3057,Zimbabwe XI,160.0
3059,Bangladesh XI,132.0
3061,Zimbabwe XI,160.0
3069,Netherlands,141.07692307692307
3073,Somerset,180.33333333333334
3074,Surrey,155.7906976744186
3078,Derbyshire,146.57142857142858
3086,Worcestershire,168.05882352941177
3087,Somerset,180.33333333333334
3088,Yorkshire,158.0
3089,Kent,157.525
3090,Glamorgan,145.3548387096774
3093,Warwickshire,157.925
3094,Lancashire,154.05769230769232
3095,Essex,167.3409090909091
3099,Gloucestershire,154.63636363636363
3100,Leicestershire,156.27027027027026
3101,Somerset,180.33333333333334
3104,Essex,167.3409090909091
3107,Sussex,157.33333333333334
3110,Sussex,157.33333333333334
3113,Lancashire,154.05769230769232
3116,Durham,155.37142857142857
3122,Worcestershire,168.05882352941177
3123,Yorkshire,158.0
3124,Nottinghamshire,165.47058823529412
3127,Sussex,157.33333333333334
3129,Hampshire,161.79591836734693
3131,Durham,155.37142857142857
3137,Nottinghamshire,165.47058823529412
3139,Gloucestershire,154.63636363636363
3141,Essex,167.3409090909091
3156,Nottinghamshire,165.47058823529412
3160,Yorkshire,158.0
3161,Somerset,180.33333333333334
3162,Sussex,157.33333333333334
3163,Yorkshire,158.0
