,Title,Awards,Wins,Nominations,Golden Globes Won,Golden Globes Nominated,Oscars Nominated,Oscars Won,Bafta Nominated,Bafta Won,PrimeTime Won,PrimeTime Nominated
1367,The Birthday Boy,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1370,O Crime do Padre Amaro,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
1384,Trapped in the Closet: Chapters 1-12,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1386,'Tis Autumn: The Search for Jackie Paris,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
1398,30 Rock,Won 6 Golden Globes. Another 80 wins & 310 nominations.,['80'],['310'],['6'],[],[],[],[],[],[],[]
1407,Takva: A Man's Fear of God,18 wins & 7 nominations.,['18'],['7'],[],[],[],[],[],[],[],[]
1409,10 Items or Less,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
1413,Tsunami: The Aftermath,Nominated for 3 Golden Globes. Another 3 wins & 23 nominations.,['3'],['23'],[],['3'],[],[],[],[],[],[]
1415,'Til Death,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1424,Out of the Shadows,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1425,Singapore Dreaming,3 wins.,['3'],[],[],[],[],[],[],[],[],[]
1428,The Game,5 wins & 25 nominations.,['5'],['25'],[],[],[],[],[],[],[],[]
1455,Lights Out,3 wins.,['3'],[],[],[],[],[],[],[],[],[]
1458,Alle lieben Jimmy,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1465,20 to 1,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1473,Blue Collar Comedy Tour: One for the Road,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1482,11 Cameras,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
1499,I Want to Be a Pilot,11 wins.,['11'],[],[],[],[],[],[],[],[],[]
1502,The Replacements,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1505,2006 FIFA World Cup,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
1514,The Somme: From Defeat to Victory,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1518,t Schaep met de 5 pooten,4 wins & 1 nomination.,['4'],['1'],[],[],[],[],[],[],[],[]
1519,Escape,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
1548,Fresh Meat 21: Built Like a Brick...,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1551,Feeding Frenzy 8,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1559,Ruido,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
1575,Freundschaft,3 nominations.,[],['3'],[],[],[],[],[],[],[],[]
1576,Ghosts,1 win & 2 nominations.,['1'],['2'],[],[],[],[],[],[],[],[]
1584,Death Note,2 wins.,['2'],[],[],[],[],[],[],[],[],[]
1586,Contact,6 wins & 1 nomination.,['6'],['1'],[],[],[],[],[],[],[],[]
1591,What Goes Around...,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1594,13: Game of Death,5 wins & 9 nominations.,['5'],['9'],[],[],[],[],[],[],[],[]
1595,The Tokyo Trial,5 wins & 7 nominations.,['5'],['7'],[],[],[],[],[],[],[],[]
1606,A Touch Away,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1609,Aifric,4 wins & 5 nominations.,['4'],['5'],[],[],[],[],[],[],[],[]
1620,Ali Rap,4 nominations.,[],['4'],[],[],[],[],[],[],[],[]
1621,Angie,1 win & 4 nominations.,['1'],['4'],[],[],[],[],[],[],[],[]
1623,Agathe kann's nicht lassen,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
1646,Quebec; Quebec,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1661,Execution,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1672,Code Geass: Lelouch of the Rebellion,4 wins.,['4'],[],[],[],[],[],[],[],[],[]
1706,Ask a Ninja,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1746,Blood Bank,1 win.,['1'],[],[],[],[],[],[],[],[],[]
1753,All Star Family Fortunes,1 nomination.,[],['1'],[],[],[],[],[],[],[],[]
1804,Al Límite,2 nominations.,[],['2'],[],[],[],[],[],[],[],[]
1898,101 East,36 wins & 20 nominations.,['36'],['20'],[],[],[],[],[],[],[],[]
1940,Savage Grace,1 win & 1 nomination.,['1'],['1'],[],[],[],[],[],[],[],[]
1941,30 Days of Night,12 nominations.,[],['12'],[],[],[],[],[],[],[],[]
