,season,match_id,inning,batting_team,batsman,batsman_runs,balls_faced,Strike-Rate,More-Than-30,More-Than-50,More-Than-100
24,2008,2,2,Kings XI Punjab,JR Hopes,71,33.0,215.15,1,1,0
25,2008,2,2,Kings XI Punjab,K Goel,24,19.0,126.32,0,0,0
26,2008,2,2,Kings XI Punjab,KC Sangakkara,54,33.0,163.64,1,1,0
27,2008,2,2,Kings XI Punjab,SM Katich,21,17.0,123.53,0,0,0
28,2008,2,2,Kings XI Punjab,Yuvraj Singh,23,13.0,176.92,0,0,0
29,2008,3,1,Rajasthan Royals,D Salunkhe,26,20.0,130.0,0,0,0
30,2008,3,1,Rajasthan Royals,DS Lehmann,1,2.0,50.0,0,0,0
31,2008,3,1,Rajasthan Royals,M Kaif,9,19.0,47.37,0,0,0
32,2008,3,1,Rajasthan Royals,M Rawat,2,4.0,50.0,0,0,0
33,2008,3,1,Rajasthan Royals,RA Jadeja,29,23.0,126.09,0,0,0
34,2008,3,1,Rajasthan Royals,SK Trivedi,3,7.0,42.86,0,0,0
35,2008,3,1,Rajasthan Royals,SK Warne,14,13.0,107.69,0,0,0
36,2008,3,1,Rajasthan Royals,SR Watson,21,15.0,140.0,0,0,0
37,2008,3,1,Rajasthan Royals,T Kohli,7,12.0,58.33,0,0,0
38,2008,3,1,Rajasthan Royals,YK Pathan,10,5.0,200.0,0,0,0
39,2008,3,2,Delhi Daredevils,G Gambhir,58,46.0,126.09,1,1,0
40,2008,3,2,Delhi Daredevils,S Dhawan,52,41.0,126.83,1,1,0
41,2008,3,2,Delhi Daredevils,V Sehwag,12,4.0,300.0,0,0,0
42,2008,4,1,Mumbai Indians,AM Nayar,20,14.0,142.86,0,0,0
43,2008,4,1,Mumbai Indians,DJ Thornely,0,5.0,0.0,0,0,0
44,2008,4,1,Mumbai Indians,Harbhajan Singh,2,2.0,100.0,0,0,0
45,2008,4,1,Mumbai Indians,L Ronchi,8,10.0,80.0,0,0,0
46,2008,4,1,Mumbai Indians,PR Shah,19,23.0,82.61,0,0,0
47,2008,4,1,Mumbai Indians,RV Uthappa,48,38.0,126.32,1,0,0
48,2008,4,1,Mumbai Indians,SM Pollock,28,12.0,233.33,0,0,0
49,2008,4,1,Mumbai Indians,ST Jayasuriya,29,16.0,181.25,0,0,0
50,2008,4,2,Royal Challengers Bangalore,B Akhil,3,5.0,60.0,0,0,0
51,2008,4,2,Royal Challengers Bangalore,JH Kallis,25,24.0,104.17,0,0,0
52,2008,4,2,Royal Challengers Bangalore,LRPL Taylor,23,12.0,191.67,0,0,0
53,2008,4,2,Royal Challengers Bangalore,MV Boucher,39,19.0,205.26,1,0,0
54,2008,4,2,Royal Challengers Bangalore,R Dravid,32,33.0,96.97,1,0,0
55,2008,4,2,Royal Challengers Bangalore,S Chanderpaul,16,11.0,145.45,0,0,0
56,2008,4,2,Royal Challengers Bangalore,V Kohli,23,14.0,164.29,0,0,0
57,2008,5,1,Deccan Chargers,A Symonds,32,39.0,82.05,1,0,0
58,2008,5,1,Deccan Chargers,AC Gilchrist,23,22.0,104.55,0,0,0
59,2008,5,1,Deccan Chargers,AS Yadav,10,10.0,100.0,0,0,0
60,2008,5,1,Deccan Chargers,RG Sharma,0,3.0,0.0,0,0,0
61,2008,5,1,Deccan Chargers,RP Singh,1,2.0,50.0,0,0,0
62,2008,5,1,Deccan Chargers,SB Bangar,14,10.0,140.0,0,0,0
63,2008,5,1,Deccan Chargers,SB Styris,6,7.0,85.71,0,0,0
64,2008,5,1,Deccan Chargers,VVS Laxman,0,6.0,0.0,0,0,0
65,2008,5,1,Deccan Chargers,WPUJC Vaas,0,1.0,0.0,0,0,0
66,2008,5,1,Deccan Chargers,Y Venugopal Rao,14,14.0,100.0,0,0,0
67,2008,5,2,Kolkata Knight Riders,BB McCullum,5,5.0,100.0,0,0,0
68,2008,5,2,Kolkata Knight Riders,DJ Hussey,38,43.0,88.37,1,0,0
69,2008,5,2,Kolkata Knight Riders,LR Shukla,4,6.0,66.67,0,0,0
70,2008,5,2,Kolkata Knight Riders,Mohammad Hafeez,13,13.0,100.0,0,0,0
71,2008,5,2,Kolkata Knight Riders,RT Ponting,0,1.0,0.0,0,0,0
72,2008,5,2,Kolkata Knight Riders,SC Ganguly,14,30.0,46.67,0,0,0
73,2008,5,2,Kolkata Knight Riders,WP Saha,10,17.0,58.82,0,0,0
74,2008,6,1,Kings XI Punjab,B Lee,0,2.0,0.0,0,0,0
75,2008,6,1,Kings XI Punjab,DPMD Jayawardene,2,4.0,50.0,0,0,0
76,2008,6,1,Kings XI Punjab,IK Pathan,12,19.0,63.16,0,0,0
77,2008,6,1,Kings XI Punjab,JR Hopes,16,16.0,100.0,0,0,0
78,2008,6,1,Kings XI Punjab,K Goel,26,21.0,123.81,0,0,0
79,2008,6,1,Kings XI Punjab,KC Sangakkara,20,8.0,250.0,0,0,0
80,2008,6,1,Kings XI Punjab,PP Chawla,24,11.0,218.18,0,0,0
81,2008,6,1,Kings XI Punjab,S Sohal,4,4.0,100.0,0,0,0
82,2008,6,1,Kings XI Punjab,WA Mota,1,1.0,100.0,0,0,0
83,2008,6,1,Kings XI Punjab,Yuvraj Singh,57,34.0,167.65,1,1,0
84,2008,6,2,Rajasthan Royals,DS Lehmann,17,16.0,106.25,0,0,0
85,2008,6,2,Rajasthan Royals,Kamran Akmal,15,10.0,150.0,0,0,0
86,2008,6,2,Rajasthan Royals,M Kaif,5,8.0,62.5,0,0,0
87,2008,6,2,Rajasthan Royals,RA Jadeja,36,25.0,144.0,1,0,0
88,2008,6,2,Rajasthan Royals,SR Watson,76,49.0,155.1,1,1,0
89,2008,6,2,Rajasthan Royals,YK Pathan,7,5.0,140.0,0,0,0
90,2008,7,1,Deccan Chargers,A Symonds,12,13.0,92.31,0,0,0
91,2008,7,1,Deccan Chargers,AC Gilchrist,8,9.0,88.89,0,0,0
92,2008,7,1,Deccan Chargers,AS Yadav,12,7.0,171.43,0,0,0
93,2008,7,1,Deccan Chargers,RG Sharma,66,36.0,183.33,1,1,0
94,2008,7,1,Deccan Chargers,RP Singh,1,1.0,100.0,0,0,0
95,2008,7,1,Deccan Chargers,SB Bangar,8,14.0,57.14,0,0,0
96,2008,7,1,Deccan Chargers,Shahid Afridi,2,7.0,28.57,0,0,0
97,2008,7,1,Deccan Chargers,VVS Laxman,2,6.0,33.33,0,0,0
98,2008,7,1,Deccan Chargers,WPUJC Vaas,12,6.0,200.0,0,0,0
99,2008,7,1,Deccan Chargers,Y Venugopal Rao,14,22.0,63.64,0,0,0
100,2008,7,2,Delhi Daredevils,G Gambhir,12,9.0,133.33,0,0,0
101,2008,7,2,Delhi Daredevils,S Dhawan,25,28.0,89.29,0,0,0
102,2008,7,2,Delhi Daredevils,V Sehwag,94,41.0,229.27,1,1,0
103,2008,8,1,Chennai Super Kings,JDP Oram,5,2.0,250.0,0,0,0
104,2008,8,1,Chennai Super Kings,MEK Hussey,5,9.0,55.56,0,0,0
105,2008,8,1,Chennai Super Kings,ML Hayden,81,46.0,176.09,1,1,0
106,2008,8,1,Chennai Super Kings,MS Dhoni,30,16.0,187.5,1,0,0
107,2008,8,1,Chennai Super Kings,PA Patel,14,11.0,127.27,0,0,0
108,2008,8,1,Chennai Super Kings,S Badrinath,2,1.0,200.0,0,0,0
